flower_color,flower_visits
yellow,NA
both,NA
yellow,NA
both,NA
yellow,NA
yellow,NA
yellow,NA
both,NA
both,NA
yellow,NA
both,NA
both,NA
pink,NA
both,NA
both,NA
both,NA
yellow,NA
yellow,NA
both,NA
yellow,NA
both,NA
both,NA
yellow,NA
yellow,3
yellow,4
yellow,3
both,4
pink,3
yellow,1
both,3
pink,2
pink,2
both,3
yellow,3
yellow,1
both,NA
yellow,1
both,7
yellow,2
yellow,2
both,3
yellow,3
yellow,2
yellow,3
yellow,3
both,5
both,2
yellow,1
both,8
both,4
both,3
pink,1
both,4
yellow,4
both,4
pink,2
yellow,1
yellow,2
yellow,1
both,4
both,5
both,6
both,3
both,3
pinnk,1
both,8
both,5
both,7
both,5
yellow,1
yellow,1
yellow,2
both,2
both,3
yellow,4
yellow,2
both,5
yellow,3
yellow,4
both,4
yellow,2
both,5
yellow,1
yellow,4
yellow,1
yellow,1
both,6
both,4
yellow,1
yellow,1
